video_title,song_title,video_id,start_sec,end_sec,link
【 #アコースティックに溺れる 】ギターの音色にのせて歌います！【#ヴイアラ / レトラ】,Snow White,i8ddBfkVwk4,393,693,https://youtu.be/i8ddBfkVwk4?t=393
【 #アコースティックに溺れる 】ギターの音色にのせて歌います！【#ヴイアラ / レトラ】,スタートリップ,i8ddBfkVwk4,693,990,https://youtu.be/i8ddBfkVwk4?t=693
【#UTANOFES】豪華２日開催歌枠リレー盛大に盛り上げてバトンを繋げるぞ！【#ヴイアラ / レトラ】,Snow White,55-2d_psYZ0,758,1060,https://youtu.be/55-2d_psYZ0?t=758
【#Super9歌枠リレー】歌うぞ！みんなで一緒に楽しもう！！【#ヴイアラ / レトラ】,Haiiro no kokoro,H2SxTFfYjh8,1360,1615,https://youtu.be/H2SxTFfYjh8?t=1360
【歌枠】祝3万人🎊重大発表あり！遠征帰りのへろへろ歌枠【#ヴイアラ / レトラ】,Fluorite,acHP7CWYIEQ,2790,3042,https://youtu.be/acHP7CWYIEQ?t=2790
【#スリーマン歌枠リレー】主催歌枠リレー、ラストも盛り上がっていくぞ！【#ヴイアラ / レトラ】,Fluorite,Z8GiU91Xu14,2220,2475,https://youtu.be/Z8GiU91Xu14?t=2220
【アイマス縛り歌枠】#ヴイアラ歌枠リレー ラストはわたし。【#ヴイアラ / レトラ】,ジュビリー,OHY_F72uqVA,174,416,https://youtu.be/OHY_F72uqVA?t=174
【歌枠/Karaoke】レトラちゃん(vα-liv/PROJECT IM@S)とオフコラボで歌う！｜Off Collab Singing Stream with Letora🎤 #おつかれとら,光るなら,RevQAEIoz7g,6334,6582,https://youtu.be/RevQAEIoz7g?t=6334
【歌枠/Karaoke】レトラちゃん(vα-liv/PROJECT IM@S)とオフコラボで歌う！｜Off Collab Singing Stream with Letora🎤 #おつかれとら,丸の内サディスティック,RevQAEIoz7g,7566,7793,https://youtu.be/RevQAEIoz7g?t=7566
【#スリーマン歌枠リレー】主催歌枠リレー、ラストはレトラがON STAGE!!!!【#ヴイアラ / レトラ】,0:00,TrEuHPgKOCo,1271,1504,https://youtu.be/TrEuHPgKOCo?t=1271
【ASOBINOTES楽曲縛り】#ヴイアラ歌枠リレー トップバッターは私だ～！【#ヴイアラ / レトラ】,Fluorite,lz6f8eKD8Eg,2344,2598,https://youtu.be/lz6f8eKD8Eg?t=2344
【歌枠】はじめての外部歌枠リレーASOBINOTES(学マス・電音部・ヴイアラ)縛りだああ！！【＃巫てんり主催歌枠リレーResonance】,Haiiro no kokoro,AXzh5vUprMY,790,1042,https://youtu.be/AXzh5vUprMY?t=790
【冬のアイマス曲縛り】#ヴイアラ歌枠リレー のラストはわたしだー！【#ヴイアラ / レトラ】,Large Size Party,7x_4fmbopWs,714,1004,https://youtu.be/7x_4fmbopWs?t=714
【冬のアイマス曲縛り】#ヴイアラ歌枠リレー のラストはわたしだー！【#ヴイアラ / レトラ】,Snow White,7x_4fmbopWs,1523,1823,https://youtu.be/7x_4fmbopWs?t=1523
【#ヴイアラ歌枠リレー】久しぶりのぶち上げ歌枠だぁぁぁあ！【#ヴイアラ / レトラ】,Haiiro no kokoro,w6ENrQiAYsY,1863,2116,https://youtu.be/w6ENrQiAYsY?t=1863
【電音部縛り】#ヴイアラリベンジ歌枠 でこの前よりカマしちゃうもんね〜【#ヴイアラ / レトラ】,Haiiro no kokoro,os-PU6Xz42o,2295,2553,https://youtu.be/os-PU6Xz42o?t=2295
【#レトラ誕生祭2023】誕生日ミニLIVE！感謝を込めて届けます！【#ヴイアラ / レトラ】,アイル,dD8A485RXUY,3758,4040,https://youtu.be/dD8A485RXUY?t=3758
【#レトラ誕生祭2023】誕生日ミニLIVE！感謝を込めて届けます！【#ヴイアラ / レトラ】,アイル,dD8A485RXUY,7170,7445,https://youtu.be/dD8A485RXUY?t=7170
【アイマス縛り歌枠】Pちゃま、一緒にブチアガろ？【#ヴイアラ歌枠リレー / レトラ】,relations,uZIBUu-TKDY,1767,2058,https://youtu.be/uZIBUu-TKDY?t=1767
【アイマス縛り歌枠】Pちゃま、一緒にブチアガろ？【#ヴイアラ歌枠リレー / レトラ】,スタートリップ,uZIBUu-TKDY,2240,2537,https://youtu.be/uZIBUu-TKDY?t=2240
【初歌枠】#ヴイアラ歌枠リレー のトリは私！電音部で盛り上がろ！【#ヴイアラ / レトラ】,Haiiro no kokoro,-LcaDRQAqGk,2730,2983,https://youtu.be/-LcaDRQAqGk?t=2730

